id,predicted
1000076,98 42 67
1000082,27 32 61
1000268,73 2 67
1000348,56 57 89
1000450,46 24 5
1000541,51 64 80
1000679,35 85 83
1000780,58 65 24
1000842,2 80 50
1000865,26 25 71
1000882,51 64 82
1000941,2 80 33
1001036,24 41 5
1001140,86 37 98
1001261,34 1 66
1001376,24 5 74
1001550,18 19 20
1001553,6 71 68
1001574,81 45 52
1001698,50 16 2
1001703,3 39 97
1001761,94 66 88
1001862,27 28 9
1001890,1 44 34
1001943,33 72 2
1001989,36 42 32
1002004,56 57 67
1002051,34 44 65
1002128,57 56 88
1002205,72 4 28
1002226,10 45 78
1002235,89 88 3
1002250,66 31 44
1002259,50 15 16
1002264,52 45 10
1002336,85 43 42
1002415,19 83 41
1002423,56 57 3
1002429,23 2 50
1002520,42 12 40
1002564,30 97 32
1002599,2 76 60
1002617,35 83 57
1002743,31 1 66
1002751,44 101 99
1002760,99 91 13
1002825,9 79 75
1003033,75 12 68
1003040,34 41 65
1003176,1 31 94
1003200,94 24 23
1003534,12 65 97
1003675,39 80 22
1003706,88 89 95
1003796,2 73 59
1003800,66 1 31
1003945,49 26 50
1004039,42 12 65
1004060,38 57 94
1004083,53 54 83
1004243,93 41 62
1004258,64 51 82
1004288,46 65 43
1004325,94 25 95
1004378,93 41 56
1004403,63 47 19
1004406,3 74 30
1004409,83 35 93
1004497,80 51 64
1004501,86 7 97
1004585,94 95 80
1004663,18 17 94
1004703,94 95 82
1004901,40 2 46
1005030,50 33 97
1005151,1 52 44
1005202,49 99 42
1005222,95 94 80
1005241,6 2 33
1005275,93 41 83
1005429,54 53 90
1005451,49 39 26
1005521,31 1 66
1005525,102 13 38
1005554,51 64 82
1005564,66 1 31
1005582,58 65 59
1005594,1 44 78
1005599,89 53 54
1005725,13 87 14
1005751,13 87 91
1005818,21 20 17
1006061,49 39 37
1006062,94 88 95
1006204,86 74 24
1006225,48 40 46
1006287,42 14 40
1006571,41 94 89
1006576,43 48 1
1006609,40 46 33
1006670,100 1 52
1006697,58 65 41
1006708,82 95 51
1006717,91 88 89
1006749,25 26 44
1006780,11 68 75
1006845,2 0 23
1006888,95 80 94
1006991,99 64 53
1007016,2 24 71
1007054,30 47 101
1007078,50 55 1
1007218,51 82 64
1007275,49 32 27
1007353,79 8 73
1007370,13 14 97
1007468,22 39 63
1007510,99 54 53
1007525,15 43 98
1007645,26 80 25
1007652,60 59 2
1007674,38 33 45
1007723,40 46 42
1007728,93 41 37
1007771,46 98 9
1007811,1 31 39
1007813,2 60 63
1007845,45 37 31
1007857,88 89 65
1007872,42 12 16
1008061,45 78 52
1008122,65 58 59
1008328,91 54 99
1008499,80 2 95
1008688,64 51 82
1008721,3 42 57
1008748,65 58 59
1008787,70 100 69
1008792,23 2 0
1008815,13 14 41
1009016,62 89 42
1009033,86 98 7
1009085,78 0 23
1009194,24 41 5
1009322,24 41 5
1009374,2 80 15
1009385,18 94 77
1009434,60 2 73
1009468,82 95 64
1009481,102 99 53
1009500,4 40 46
1009726,97 0 6
1009749,49 32 12
1009762,75 71 33
1009786,71 33 2
1009855,77 76 80
1009857,65 58 89
1009951,12 91 42
1010147,80 2 7
1010228,93 41 80
1010277,2 0 79
1010290,53 54 41
1010333,63 47 19
1010346,42 83 35
1010415,20 21 23
1010515,23 2 80
1010517,38 57 101
1010557,50 16 41
1010597,74 97 2
1010639,41 24 5
1010643,93 41 66
1010756,11 9 46
1010789,76 74 73
1010827,15 75 47
1010934,26 25 71
1010959,41 24 5
1010970,86 97 6
1011060,86 24 97
1011140,49 26 55
1011144,1 31 44
1011244,71 33 4
1011294,57 88 56
1011399,83 35 67
1011441,102 89 41
1011519,97 40 2
1011552,37 86 74
1011635,86 98 37
1011679,58 65 41
1011686,51 64 82
1011753,10 41 66
1011761,83 35 41
1011798,42 12 61
1011824,83 35 41
1011877,42 40 12
1011976,55 49 1
1012099,12 42 34
1012259,83 35 41
1012358,44 34 1
1012450,63 47 1
1012513,42 40 2
1012616,4 76 71
1012654,18 19 17
1012685,9 27 15
1012809,36 10 15
1012841,58 65 41
1012871,79 75 73
1012965,22 2 39
1012992,75 71 79
1013065,83 35 67
1013180,49 30 55
1013196,53 41 54
1013468,83 35 67
1013480,5 41 24
1013934,79 73 75
1013950,83 35 3
1014023,53 54 41
1014058,37 39 41
1014122,86 98 7
1014194,32 11 33
1014201,29 71 97
1014609,10 40 41
1014627,20 19 21
1014671,36 102 43
1015119,25 26 71
1015247,55 98 26
1015382,49 99 2
1015409,86 7 6
1015417,52 95 80
1015527,97 2 65
1015617,36 11 9
1015702,97 5 65
1015753,17 21 18
1015807,58 65 59
1015878,48 98 36
1015913,70 97 42
1016003,65 58 59
1016065,23 2 50
1016076,39 41 45
1016113,91 89 54
1016320,94 95 96
1016327,41 24 56
1016399,28 49 72
1016541,54 53 41
1016700,53 54 88
1016825,89 88 90
1016875,76 79 73
1016967,83 41 66
1017022,79 71 75
1017025,35 83 67
1017071,79 75 78
1017226,47 30 68
1017305,98 86 43
1017342,48 98 65
1017431,37 39 21
1017562,36 11 43
1017584,59 65 4
1017666,102 13 38
1017682,41 56 5
1017707,86 7 98
1017741,3 97 65
1017775,91 89 54
1017898,86 98 24
1017967,71 4 26
1017976,97 8 65
1018282,8 97 67
1018331,84 26 63
1018345,47 2 0
1018491,83 64 82
1018693,24 5 97
1018728,54 53 90
1018739,65 58 59
1018759,78 74 77
1018771,2 0 67
1018896,87 13 101
1019014,65 58 59
1019156,14 20 88
1019214,102 13 101
1019370,55 47 5
1019517,34 44 41
1019724,0 67 5
1019817,44 66 1
1019875,34 44 66
1020004,54 53 89
1020016,75 71 12
1020267,98 5 86
1020292,57 3 56
1020314,50 12 16
1020431,42 2 12
1020446,78 44 60
1020512,49 2 4
1020643,24 41 5
1020725,77 76 42
1020793,23 2 80
1020812,97 5 40
1020904,37 39 97
1020992,65 58 12
1021004,5 41 24
1021067,60 43 46
1021073,25 26 8
1021102,8 97 67
1021111,93 41 83
1021166,38 57 83
1021259,13 14 89
1021269,42 40 36
1021285,37 41 39
1021388,63 47 5
1021477,99 41 80
1021511,37 93 88
1021572,51 82 80
1021587,45 81 1
1021629,100 61 72
1021655,74 5 24
1021982,86 98 74
1022145,85 52 35
1022188,64 51 100
1022208,3 89 41
1022420,47 63 2
1022467,42 12 40
1022476,41 24 89
1022609,93 83 41
1022668,33 2 6
1022691,100 64 99
1022767,33 7 72
1022838,10 41 40
1023008,71 33 75
1023025,97 65 58
1023065,67 0 88
1023139,39 1 31
1023167,41 89 24
1023210,95 0 96
1023311,82 95 41
1023412,30 32 41
1023437,31 100 1
1023513,102 23 66
1023637,37 41 93
1023647,23 2 21
1023670,83 35 41
1023728,79 73 75
1023807,93 41 83
1024070,86 74 24
1024133,44 0 2
1024140,73 76 60
1024147,76 77 73
1024157,6 97 2
1024268,17 21 15
1024347,93 83 41
1024385,96 41 95
1024452,2 50 0
1024635,92 87 88
1024690,75 73 71
1024721,65 58 34
1024759,2 0 67
1024812,38 80 56
1024856,49 32 55
1024938,97 40 46
1025135,51 64 99
1025151,58 65 93
1025175,66 44 34
1025370,83 35 89
1025420,93 83 41
1025574,2 41 72
1025624,47 50 73
1025694,2 0 97
1025733,57 3 41
1025844,69 3 41
1025917,4 33 71
1026115,58 65 51
1026138,97 65 86
1026245,54 53 91
1026379,62 35 44
1026465,81 18 55
1026520,13 99 101
1026537,34 66 44
1026582,41 5 24
1026870,84 26 0
1026949,1 31 44
1027007,39 41 44
1027186,81 42 102
1027244,4 71 80
1027292,66 31 1
1027312,4 30 29
1027360,30 32 33
1027569,49 32 4
1027636,86 24 74
1027705,53 54 41
1027753,15 75 48
1027769,47 46 30
1027783,2 0 15
1027887,83 35 41
1027898,5 24 41
1027911,78 65 73
1027925,42 40 22
1027965,10 78 44
1027967,64 51 82
1028016,18 19 79
1028096,36 9 11
1028102,93 41 44
1028116,11 46 32
1028136,23 2 0
1028145,81 31 66
1028146,41 24 97
1028218,66 93 31
1028231,84 2 0
1028265,5 24 41
1028301,13 87 92
1028421,36 9 11
1028481,4 33 42
1028623,34 44 66
1028949,88 89 95
1028960,73 76 74
1028983,33 72 7
1029013,83 35 54
1029164,97 74 98
1029178,33 18 17
1029310,53 54 88
1029383,35 83 67
1029409,64 51 80
1029424,56 57 3
1029457,53 54 89
1029483,63 47 39
1029508,50 15 12
1029572,33 71 77
1029601,5 41 24
1029659,93 41 24
1029718,101 54 13
1029730,47 55 2
1029760,2 60 71
1029773,5 41 24
1029840,74 24 86
1029918,102 23 53
1029944,53 54 99
1029950,49 32 30
1030007,37 41 89
1030037,81 45 18
1030048,34 44 2
1030107,43 35 0
1030441,23 2 50
1030446,75 6 68
1030502,23 2 3
1030507,73 76 74
1030624,82 51 95
1030630,25 26 79
1030648,35 83 82
1030860,83 35 82
1030898,49 4 38
1030969,76 73 77
1031064,64 51 99
1031111,32 33 30
1031128,50 16 12
1031130,37 39 21
1031134,4 33 69
1031197,2 0 67
1031241,73 17 2
1031417,99 80 13
1031591,40 46 2
1031660,18 19 47
1031795,102 51 13
1031843,49 26 98
1031880,48 98 40
1031936,89 43 83
1032031,26 25 98
1032114,55 47 92
1032170,89 88 3
1032190,12 2 42
1032207,8 97 74
1032241,97 2 17
1032330,9 79 46
1032403,2 80 33
1032527,101 40 102
1032534,86 24 89
1032666,87 92 101
1032677,34 1 66
1032770,78 73 74
1032799,30 15 70
1032871,43 97 86
1033046,88 41 89
1033073,97 86 6
1033120,3 97 65
1033151,41 83 93
1033157,79 73 75
1033161,42 40 61
1033272,32 11 33
1033350,79 73 75
1033406,101 87 54
1033443,58 65 51
1033598,94 95 44
1033640,6 0 97
1033789,76 73 77
1033944,93 41 83
1034031,71 4 75
1034117,86 7 24
1034120,12 42 89
1034264,11 46 9
1034292,86 74 97
1034342,30 32 47
1034362,69 97 3
1034497,68 97 29
1034592,12 42 50
1034612,50 15 17
1034769,64 51 82
1034788,66 31 44
1034825,23 2 96
1034871,93 41 83
1034894,80 2 95
1035114,2 47 44
1035363,42 2 88
1035372,18 19 17
1035419,76 73 77
1035463,24 89 41
1035576,56 57 83
1035685,55 32 97
1035789,5 41 24
1035802,55 21 20
1035812,40 65 46
1035819,32 46 9
1035843,31 1 45
1035943,52 81 45
1035960,72 71 9
1035993,94 96 38
1036214,70 65 12
1036331,30 85 23
1036354,73 76 79
1036695,91 54 89
1036702,40 42 61
1036760,82 95 51
1036790,59 65 58
1036853,65 58 59
1036888,63 47 18
1036947,97 41 8
1036987,66 93 31
1037001,37 21 39
1037075,7 41 86
1037135,43 85 70
1037179,86 24 98
1037285,37 39 47
1037361,75 68 76
1037409,89 13 55
1037437,12 70 15
1037449,94 99 2
1037493,18 19 81
1037533,97 5 86
1037539,73 76 79
1037606,82 95 80
1037656,59 65 58
1037706,97 65 8
1037764,44 66 1
1037780,85 64 70
1037826,42 16 12
1037829,97 40 5
1037846,66 1 31
1037902,89 88 53
1037909,35 83 41
1037938,38 57 49
1038006,55 50 23
1038012,55 50 38
1038088,39 37 22
1038266,17 21 43
1038328,100 1 52
1038433,79 75 73
1038596,42 12 16
1038605,95 80 82
1038780,40 61 42
1038828,96 95 88
1038898,49 39 32
1038969,93 44 41
1038979,63 2 47
1039009,2 0 23
1039155,26 25 49
1039390,34 44 66
1039400,40 46 97
1039413,97 40 41
1039448,64 80 51
1039513,75 68 79
1039540,46 9 40
1039622,10 40 41
1039843,21 17 23
1039846,19 20 97
1039917,30 32 33
1039926,80 95 96
1039931,88 89 95
1039988,87 12 92
1040061,78 79 73
1040111,64 51 80
1040392,49 32 4
1040436,83 35 67
1040554,79 73 75
1040563,36 85 43
1040626,94 38 96
1040640,2 0 23
1040669,51 64 95
1040755,33 6 32
1040772,45 52 39
1040796,71 33 4
1040885,54 53 88
1040914,46 98 97
1041030,49 4 25
1041076,85 32 63
1041181,81 45 39
1041280,51 64 82
1041285,65 58 54
1041309,1 31 66
1041350,47 63 68
1041501,40 46 73
1041526,48 36 47
1041620,102 3 89
1041649,57 3 56
1041724,88 89 37
1041736,83 41 54
1041808,17 80 18
1041829,84 89 9
1041863,58 65 57
1041882,71 33 72
1041909,83 41 89
1041913,72 77 28
1041929,61 40 9
1042000,38 52 35
1042001,8 97 67
1042024,38 94 57
1042085,33 30 40
1042278,25 26 8
1042326,59 65 58
1042330,102 101 89
1042437,53 54 3
1042450,18 19 20
1042487,102 101 38
1042625,12 42 94
1042681,35 83 41
1042697,20 21 97
1042821,73 76 30
1042842,26 25 84
1042891,64 51 82
1043144,23 2 16
1043292,32 55 49
1043335,22 15 39
1043432,4 72 33
1043485,92 87 101
1043678,83 80 94
1043682,34 96 35
1043693,41 24 89
1044141,2 80 0
1044154,88 89 67
1044267,12 42 61
1044337,86 24 98
1044508,65 58 59
1044538,57 38 34
1044673,51 64 80
1044696,94 95 96
1044703,88 89 42
1044747,66 31 93
1044867,8 97 67
1044887,93 41 44
1045064,94 80 95
1045071,87 101 2
1045204,46 40 29
1045234,82 95 41
1045255,67 65 0
1045275,2 0 47
1045459,33 4 18
1045534,88 95 96
1045551,15 2 48
1045616,40 61 42
1045660,35 83 65
1045747,100 1 39
1045829,80 95 51
1045853,10 54 78
1045879,50 55 16
1046157,64 51 82
1046547,62 65 58
1046570,53 54 41
1046603,80 95 96
1046797,9 79 27
1046810,21 20 37
1046871,2 80 23
1047094,79 75 73
1047226,17 21 30
1047321,8 97 67
1047533,91 89 70
1047599,58 65 88
1047847,49 26 4
1047862,31 1 66
1047888,15 75 9
1047938,3 89 88
1047946,47 68 30
1048026,79 71 2
1048064,92 95 88
1048345,1 31 2
1048391,3 57 54
1048431,39 41 20
1048491,12 42 51
1048515,93 83 41
1048579,101 64 87
1048617,41 24 5
1048652,88 35 89
1048657,41 24 5
1048703,56 57 41
1048706,94 96 38
1048707,93 62 41
1048882,46 67 0
1048911,11 46 60
1048933,57 56 3
1049042,2 79 0
1049046,12 42 2
1049056,63 77 76
1049076,32 33 97
1049316,65 58 59
1049408,86 7 97
1049502,1 0 31
1049525,65 58 59
1049553,53 54 33
1049633,13 102 0
1049660,36 11 43
1049672,94 49 38
1049756,1 31 34
1049774,93 83 41
1049792,56 57 89
1049855,43 70 86
1049860,93 41 44
1049959,42 12 40
1049980,80 41 67
1050032,58 65 59
1050049,1 31 100
1050128,99 13 91
1050178,49 97 4
1050191,81 18 2
1050193,42 12 16
1050243,25 8 97
1050318,53 41 54
1050409,97 5 6
1050462,99 64 100
1050502,30 32 97
1050550,79 73 76
1050614,12 49 94
1050688,41 24 83
1050708,56 57 3
1050710,52 3 54
1050717,35 83 67
1050761,20 21 85
1050859,64 80 51
1051050,83 35 24
1051212,83 35 67
1051253,18 19 73
1051277,37 47 39
1051362,96 95 62
1051372,76 77 73
1051597,97 40 65
1051666,41 24 93
1051694,35 83 85
1051713,18 17 19
1051773,79 73 76
1051786,34 44 35
1051878,80 95 2
1051936,98 86 24
1051950,7 86 3
1052016,9 36 11
1052017,9 98 86
1052246,95 80 94
1052512,91 99 13
1052611,93 41 83
1052693,31 44 1
1052743,23 2 16
1052802,30 47 33
1052845,29 97 4
1052882,44 0 67
1052970,97 40 5
1053124,40 46 86
1053301,19 18 63
1053315,21 17 20
1053469,45 83 41
1053591,78 74 65
1053608,43 98 0
1053639,66 34 44
1053870,38 57 45
1053939,63 19 1
1054020,60 46 42
1054062,64 51 82
1054074,25 8 97
1054114,10 41 54
1054140,99 64 53
1054147,72 28 27
1054335,64 51 82
1054475,64 51 54
1054500,58 65 59
1054513,6 0 86
1054548,97 65 2
1054586,98 43 67
1054647,18 81 17
1054714,64 51 80
1054745,2 80 23
1054788,9 36 11
1054856,101 54 89
1054881,24 41 5
1054898,10 41 36
1054963,41 24 5
1054965,1 94 88
1055010,6 29 5
1055065,1 31 66
1055120,42 61 100
1055123,63 23 77
1055190,49 55 5
1055237,83 65 41
1055267,83 35 93
1055285,93 41 62
1055313,94 82 95
1055405,52 95 96
1055456,91 89 70
1055582,101 53 54
1055625,49 39 55
1055638,30 33 49
1055778,87 2 65
1055802,43 48 70
1055805,102 101 83
1055822,73 76 74
1055851,102 85 89
1055856,12 42 36
1056122,15 16 36
1056187,6 97 0
1056208,70 43 35
1056237,17 7 21
1056255,39 45 37
1056325,8 97 67
1056331,102 12 83
1056378,98 24 74
1056430,99 64 51
1056440,76 60 46
1056443,97 86 85
1056528,21 20 17
1056548,35 83 93
1056652,83 56 35
1056683,93 41 83
1056821,62 42 89
1056853,56 57 95
1056918,23 2 96
1056929,56 57 41
1056952,33 72 6
1056965,87 13 92
1057003,88 89 3
1057065,1 94 66
1057103,37 41 24
1057334,30 32 33
1057351,91 89 40
1057369,0 2 67
1057415,64 80 51
1057427,75 71 9
1057446,80 95 94
1057574,12 6 48
1057616,85 16 66
1057617,23 2 38
1057825,55 98 49
1057851,0 2 67
1057868,10 43 36
1057933,7 86 74
1058041,37 39 93
1058071,2 0 80
1058081,70 43 12
1058171,102 13 23
1058212,80 95 24
1058254,72 28 42
1058371,38 5 1
1058626,4 71 33
1058627,2 80 15
1058747,93 41 83
1058828,43 36 40
1058885,93 62 37
1058886,64 51 82
1058967,67 0 2
1059021,34 57 35
1059024,58 65 59
1059064,66 83 41
1059078,15 72 2
1059085,42 2 12
1059158,21 30 24
1059233,41 24 89
1059237,97 6 5
1059255,31 1 66
1059357,51 64 82
1059408,38 57 56
1059497,56 41 102
1059578,72 7 4
1059705,2 0 43
1059864,93 83 41
1059891,35 83 85
1059955,41 24 54
1059966,64 51 95
1060274,61 40 9
1060324,30 37 33
1060326,26 25 80
1060372,73 71 4
1060501,68 29 30
1060520,65 58 80
1060580,93 41 44
1060603,55 32 47
1060670,65 58 59
1060866,36 9 11
1060942,94 95 38
1060994,41 5 24
1060997,70 65 97
1061096,65 58 34
1061341,0 2 67
1061398,97 8 37
1061433,2 60 88
1061574,42 12 61
1061645,73 76 60
1061651,38 80 95
1061708,2 47 50
1061715,34 44 35
1061726,83 35 93
1061792,89 88 54
1061823,93 66 44
1061858,97 5 24
1061886,41 83 62
1062255,65 58 59
1062274,22 30 40
1062339,97 39 0
1062375,26 25 98
1062411,75 68 29
1062490,19 63 20
1062623,41 53 54
1062667,27 28 65
1062675,87 92 95
1062824,24 86 74
1062908,81 18 17
1062992,2 0 74
1063033,100 64 1
1063064,40 42 46
1063124,3 1 40
1063181,65 58 59
1063190,91 99 14
1063199,50 17 55
1063226,30 47 49
1063245,5 24 0
1063282,79 73 75
1063473,64 51 82
1063521,49 4 26
1063576,53 54 69
1063734,92 87 95
1064059,94 95 82
1064107,93 41 66
1064154,87 92 2
1064255,24 5 41
1064269,63 47 39
1064273,86 7 24
1064334,5 41 0
1064387,18 19 81
1064425,99 13 87
1064453,34 65 44
1064855,86 65 97
1064874,47 46 2
1064891,64 51 56
1064992,29 40 30
1065088,63 2 77
1065132,3 89 41
1065228,27 28 5
1065242,69 3 25
1065412,53 54 89
1065446,45 54 41
1065567,25 73 88
1065622,98 5 24
1065809,55 50 32
1065846,86 6 98
1066008,58 65 59
1066020,77 76 73
1066033,24 5 41
1066056,93 41 83
1066279,29 9 46
1066358,93 44 41
1066394,18 81 63
1066445,38 49 81
1066540,91 54 13
1066626,64 51 82
1066730,12 64 42
1066744,53 54 41
1066889,2 80 0
1066909,83 35 102
1067102,23 2 43
1067117,44 65 58
1067153,89 88 41
1067227,91 54 89
1067252,49 99 26
1067315,86 97 5
1067323,48 98 5
1067474,67 65 0
1067488,34 66 44
1067520,50 55 49
1067707,6 97 68
1067736,37 41 24
1067757,93 41 62
1067830,64 51 82
1067860,11 46 32
1067870,83 35 67
1067891,93 83 41
1068023,37 39 93
1068048,86 37 24
1068117,20 21 19
1068159,9 79 75
1068205,93 41 65
1068271,97 0 6
1068279,49 4 26
1068284,53 54 90
1068298,26 82 95
1068319,95 80 96
1068388,88 89 54
1068603,2 0 23
1068697,8 67 97
1068720,36 22 3
1068735,86 98 3
1068846,49 47 32
1068961,87 92 101
1069018,15 88 95
1069066,65 58 59
1069075,2 0 23
1069117,56 57 89
1069179,18 19 81
1069211,5 24 41
1069307,33 30 2
1069431,59 4 69
1069571,51 64 82
1069614,22 2 1
1069680,53 54 41
1069728,83 94 89
1069747,47 1 55
1069751,12 94 47
1069804,41 24 5
1069818,17 19 21
1069839,63 47 19
1069861,83 35 3
1069888,21 20 5
1069949,44 82 35
1070045,92 65 88
1070088,79 73 8
1070128,86 74 24
1070189,86 7 98
1070267,51 80 95
1070282,4 71 33
1070382,17 19 18
1070504,43 85 11
1070506,89 88 94
1070735,39 1 41
1070808,102 101 13
1070830,15 2 16
1070863,38 94 57
1070882,11 46 32
1070884,38 2 57
1070914,40 46 86
1070968,102 38 89
1071008,48 98 43
1071029,25 26 8
1071069,23 2 41
1071073,60 65 79
1071141,30 33 41
1071284,41 5 24
1071319,7 86 97
1071366,68 29 97
1071552,102 101 89
1071598,53 54 89
1071657,68 29 30
1071697,58 65 91
1071836,93 41 31
1071844,34 44 1
1071869,37 21 97
1071940,48 40 36
1071971,6 29 86
1072061,83 35 82
1072147,50 16 15
1072211,42 48 12
1072221,102 101 13
1072373,2 47 0
1072424,32 30 33
1072443,13 56 91
1072491,50 12 15
1072508,81 52 1
1072558,97 5 8
1072617,23 2 0
1072696,34 44 66
1072738,57 56 3
1072756,8 97 24
1072781,102 23 96
1072785,20 19 15
1073164,34 43 65
1073247,35 83 44
1073293,81 97 2
1073314,28 27 81
1073363,17 21 19
